Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Hastlayer\Hast.Algorithms\Hast.Algorithms.csproj,File,src\Hastlayer\Hast.Algorithms\Hast.Algorithms.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,test\Hast.Algorithms.Tests\Hast.Algorithms.Tests.csproj,File,test\Hast.Algorithms.Tests\Hast.Algorithms.Tests.csproj,,,xunit 2.4.1,,,,,"xunit, 2.4.1  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\Hast.Algorithms.Tests\Hast.Algorithms.Tests.csproj,File,test\Hast.Algorithms.Tests\Hast.Algorithms.Tests.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,File,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,File,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,,,System.Reflection.Emit 4.7.0,,,,,"System.Reflection.Emit, 4.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,File,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,,,System.Reflection.Emit.ILGeneration 4.7.0,,,,,"System.Reflection.Emit.ILGeneration, 4.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,File,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,File,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,File,src\Hastlayer\Hast.Catapult\Exceptions\CatapultFunctionResultException.cs,30,8,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,File,src\Hastlayer\Hast.Catapult\Exceptions\CatapultFunctionResultException.cs,30,8,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Catapult\Hast.Catapult.csproj,File,src\Hastlayer\Hast.Catapult\CatapultLibrary.cs,253,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,"Task.WaitAll(_slotDispatch, TimeSpan.FromSeconds(3));"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Hastlayer\Hast.Common\Hast.Common.csproj,File,src\Hastlayer\Hast.Common\Hast.Common.csproj,,,Microsoft.Extensions.Logging 3.1.2,,,,,"Microsoft.Extensions.Logging, 3.1.2  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.10"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Hastlayer\Hast.Common\Hast.Common.csproj,File,src\Hastlayer\Hast.Common\Hast.Common.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Common\Hast.Common.csproj,File,src\Hastlayer\Hast.Common\Services\AppDataFolder.cs,26,16,T:System.Uri,,,,,var path = Uri.UnescapeDataString(uri.Path);
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,,,System.IO.Ports 4.7.0,,,,,"System.IO.Ports, 4.7.0  Recommendation:  Remove System.IO.Ports, and replace with new package System.IO.Ports 10.0.10"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Extensions\SerialPortExtensions.cs,8,4,T:System.IO.Ports.SerialPort,,,,,"public static void Write(this SerialPort serialPort, char character)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Extensions\SerialPortExtensions.cs,8,76,"M:System.IO.Ports.SerialPort.Write(System.Char[],System.Int32,System.Int32)",,,,,"serialPort.Write(new[] { character }, 0, 1)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Constants\Serial.cs,8,26,T:System.IO.Ports.StopBits,,,,,DefaultStopBits = StopBits.One
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Constants\Serial.cs,7,24,T:System.IO.Ports.Parity,,,,,DefaultParity = Parity.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Exceptions\SerialPortCommunicationException.cs,20,8,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(serializationInfo, streamingContext)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Exceptions\SerialPortCommunicationException.cs,20,8,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(serializationInfo, streamingContext)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Exceptions\EthernetCommunicationException.cs,20,8,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Exceptions\EthernetCommunicationException.cs,20,8,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Extensibility\Pipeline\ISerialPortConfigurator.cs,14,4,T:System.IO.Ports.SerialPort,,,,," void ConfigureSerialPort(SerialPort serialPort, IHardwareExecutionContext hardwareExecutionContext)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,318,4,T:System.IO.Ports.SerialPort,,,,,private SerialPort CreateSerialPort(IHardwareExecutionContext executionContext)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,P:System.IO.Ports.SerialPort.WriteTimeout,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,T:System.IO.Ports.StopBits,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,T:System.IO.Ports.StopBits,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,P:System.IO.Ports.SerialPort.StopBits,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,T:System.IO.Ports.Parity,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,T:System.IO.Ports.Parity,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,P:System.IO.Ports.SerialPort.Parity,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,P:System.IO.Ports.SerialPort.BaudRate,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,T:System.IO.Ports.SerialPort,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,320,8,M:System.IO.Ports.SerialPort.#ctor,,,,,"var serialPort = new SerialPort          {              BaudRate = Serial.DefaultBaudRate,              Parity = Serial.DefaultParity,              StopBits = Serial.DefaultStopBits,              WriteTimeout = Serial.DefaultWriteTimeoutMilliseconds,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,294,4,T:System.IO.Ports.SerialPort,,,,,private void TryOpenSerialPort(SerialPort serialPort)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,299,12,"M:System.IO.Ports.SerialPort.Write(System.Byte[],System.Int32,System.Int32)",,,,,"serialPort.Write(CommandTypes.WhoIsAvailable, offset: 0, count: CommandTypes.WhoIsAvailable.Length);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,298,12,M:System.IO.Ports.SerialPort.Open,,,,,serialPort.Open();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,267,20,P:System.IO.Ports.SerialPort.PortName,,,,,serialPort.PortName = (string)portNameObject;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,262,28,P:System.IO.Ports.SerialPort.PortName,,,,,fpgaPortNames.Add(serialPort.PortName);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,260,24,M:System.IO.Ports.SerialPort.ReadByte,,,,,if (serialPort.ReadByte() == Serial.Signals.Ready)                          {                              fpgaPortNames.Add(serialPort.PortName);                              taskCompletionSource.SetResult(true);                          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,258,20,T:System.IO.Ports.SerialDataReceivedEventHandler,,,,,"serialPort.DataReceived += (_, _) =>                      {                          if (serialPort.ReadByte() == Serial.Signals.Ready)                          {                              fpgaPortNames.Add(serialPort.PortName);                              taskCompletionSource.SetResult(true);                          }                      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,258,20,T:System.IO.Ports.SerialDataReceivedEventHandler,,,,,"serialPort.DataReceived += (_, _) =>                      {                          if (serialPort.ReadByte() == Serial.Signals.Ready)                          {                              fpgaPortNames.Add(serialPort.PortName);                              taskCompletionSource.SetResult(true);                          }                      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,258,20,E:System.IO.Ports.SerialPort.DataReceived,,,,,"serialPort.DataReceived += (_, _) =>                      {                          if (serialPort.ReadByte() == Serial.Signals.Ready)                          {                              fpgaPortNames.Add(serialPort.PortName);                              taskCompletionSource.SetResult(true);                          }                      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,255,20,T:System.IO.Ports.SerialPort,,,,,using var serialPort = CreateSerialPort(executionContext);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,238,8,T:System.IO.Ports.SerialPort,,,,,var ports = SerialPort.GetPortNames();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,238,8,M:System.IO.Ports.SerialPort.GetPortNames,,,,,var ports = SerialPort.GetPortNames();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,219,16,T:System.IO.Ports.SerialPort,,,,,serialCommunicationContext.SerialPort.Write(Serial.Signals.Ready);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,208,16,T:System.IO.Ports.SerialPort,,,,,serialCommunicationContext.SerialPort.Write(Serial.Signals.Ready);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,193,16,T:System.IO.Ports.SerialPort,,,,,serialCommunicationContext.SerialPort.Write(Serial.Signals.Ready);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,174,20,T:System.IO.Ports.SerialPort,,,,,serialCommunicationContext.SerialPort.Write(Serial.Signals.Ready);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,138,12,"M:System.IO.Ports.SerialPort.Read(System.Byte[],System.Int32,System.Int32)",,,,,"serialPort.Read(inputBuffer, 0, inputBuffer.Length);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,137,12,P:System.IO.Ports.SerialPort.BytesToRead,,,,,var inputBuffer = new byte[serialPort.BytesToRead];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,135,12,T:System.IO.Ports.SerialData,,,,,if (e.EventType != SerialData.Chars) return;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,135,12,T:System.IO.Ports.SerialData,,,,,if (e.EventType != SerialData.Chars) return;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,135,12,F:System.IO.Ports.SerialData.Chars,,,,,if (e.EventType != SerialData.Chars) return;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,135,12,T:System.IO.Ports.SerialData,,,,,if (e.EventType != SerialData.Chars) return;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,135,12,P:System.IO.Ports.SerialDataReceivedEventArgs.EventType,,,,,if (e.EventType != SerialData.Chars) return;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,133,8,T:System.IO.Ports.SerialDataReceivedEventHandler,,,,,"serialPort.DataReceived += (_, e) =>          {              if (e.EventType != SerialData.Chars) return;                var inputBuffer = new byte[serialPort.BytesToRead];              serialPort.Read(inputBuffer, 0, inputBuffer.Length);                for (int i = 0; i < inputBuffer.Length && serialCommunicationContext.CommunicationState != Serial.CommunicationState.Finished; i++)              {                  serialCommunicationContext.CommunicationState = ProcessReceivedByte(                      inputBuffer[i],                      serialCommunicationContext,                      executionContext,                      accessor,                      executionTimeBytes,                      outputByteCountBytes,                      outputBytes);              }          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,133,8,T:System.IO.Ports.SerialDataReceivedEventHandler,,,,,"serialPort.DataReceived += (_, e) =>          {              if (e.EventType != SerialData.Chars) return;                var inputBuffer = new byte[serialPort.BytesToRead];              serialPort.Read(inputBuffer, 0, inputBuffer.Length);                for (int i = 0; i < inputBuffer.Length && serialCommunicationContext.CommunicationState != Serial.CommunicationState.Finished; i++)              {                  serialCommunicationContext.CommunicationState = ProcessReceivedByte(                      inputBuffer[i],                      serialCommunicationContext,                      executionContext,                      accessor,                      executionTimeBytes,                      outputByteCountBytes,                      outputBytes);              }          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,133,8,E:System.IO.Ports.SerialPort.DataReceived,,,,,"serialPort.DataReceived += (_, e) =>          {              if (e.EventType != SerialData.Chars) return;                var inputBuffer = new byte[serialPort.BytesToRead];              serialPort.Read(inputBuffer, 0, inputBuffer.Length);                for (int i = 0; i < inputBuffer.Length && serialCommunicationContext.CommunicationState != Serial.CommunicationState.Finished; i++)              {                  serialCommunicationContext.CommunicationState = ProcessReceivedByte(                      inputBuffer[i],                      serialCommunicationContext,                      executionContext,                      accessor,                      executionTimeBytes,                      outputByteCountBytes,                      outputBytes);              }          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,120,8,T:System.IO.Ports.SerialPort,,,,,"var serialCommunicationContext = new SerialCommunicationContext          {              TaskCompletionSource = new TaskCompletionSource<bool>(),              CommunicationState = Serial.CommunicationState.WaitForFirstResponse,              SerialPort = serialPort,              CommunicationStateContext = context,          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,85,12,P:System.IO.Ports.SerialPort.PortName,,,,,"throw new SerialPortCommunicationException(                  ""Communication with the FPGA board through the serial port failed. The "" +                  serialPort.PortName + "" exists but it's used by another process."");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Hastlayer\Hast.Communication\Hast.Communication.csproj,File,src\Hastlayer\Hast.Communication\Services\SerialPortCommunicationService.cs,81,12,P:System.IO.Ports.SerialPort.PortName,,,,,"Logger.LogInformation(""The port {PortName} is ours."", serialPort.PortName);"
