Op	InType	OutType	Template	DesignStat	DPD	TWDFR
and	std_logic_vector1	std_logic_vector1	sync	impl	0,796	0,113
and	std_logic_vector8	std_logic_vector8	sync	impl	1,078	0,138
and	std_logic_vector16	std_logic_vector16	sync	impl	1,020	0,027
and	std_logic_vector32	std_logic_vector32	sync	impl	0,864	0,133
and	std_logic_vector64	std_logic_vector64	sync	impl	1,486	0,007
nand	std_logic_vector1	std_logic_vector1	sync	impl	0,697	0,135
nand	std_logic_vector8	std_logic_vector8	sync	impl	1,081	0,138
nand	std_logic_vector16	std_logic_vector16	sync	impl	1,093	0,113
nand	std_logic_vector32	std_logic_vector32	sync	impl	0,940	0,126
nand	std_logic_vector64	std_logic_vector64	sync	impl	0,944	0,017
or	std_logic_vector1	std_logic_vector1	sync	impl	0,796	0,113
or	std_logic_vector8	std_logic_vector8	sync	impl	1,078	0,138
or	std_logic_vector16	std_logic_vector16	sync	impl	1,020	0,027
or	std_logic_vector32	std_logic_vector32	sync	impl	0,864	0,133
or	std_logic_vector64	std_logic_vector64	sync	impl	1,486	0,007
nor	std_logic_vector1	std_logic_vector1	sync	impl	0,697	0,135
nor	std_logic_vector8	std_logic_vector8	sync	impl	1,081	0,138
nor	std_logic_vector16	std_logic_vector16	sync	impl	1,093	0,113
nor	std_logic_vector32	std_logic_vector32	sync	impl	0,940	0,126
nor	std_logic_vector64	std_logic_vector64	sync	impl	0,944	0,017
xor	std_logic_vector1	std_logic_vector1	sync	impl	0,796	0,113
xor	std_logic_vector8	std_logic_vector8	sync	impl	1,081	0,138
xor	std_logic_vector16	std_logic_vector16	sync	impl	1,020	0,027
xor	std_logic_vector32	std_logic_vector32	sync	impl	0,942	0,126
xor	std_logic_vector64	std_logic_vector64	sync	impl	1,486	0,007
xnor	std_logic_vector1	std_logic_vector1	sync	impl	0,796	0,113
xnor	std_logic_vector8	std_logic_vector8	sync	impl	1,081	0,138
xnor	std_logic_vector16	std_logic_vector16	sync	impl	1,020	0,027
xnor	std_logic_vector32	std_logic_vector32	sync	impl	0,942	0,126
xnor	std_logic_vector64	std_logic_vector64	sync	impl	1,486	0,007
add	unsigned1	unsigned1	sync	impl	0,796	0,113
add	signed1	signed1	sync	impl	0,796	0,113
add	unsigned8	unsigned8	sync	impl	1,761	0,143
add	signed8	signed8	sync	impl	1,761	0,143
add	unsigned16	unsigned16	sync	impl	1,936	0,127
add	signed16	signed16	sync	impl	1,936	0,127
add	unsigned32	unsigned32	sync	impl	2,654	0,027
add	signed32	signed32	sync	impl	2,654	0,027
add	unsigned64	unsigned64	sync	impl	3,333	0,062
add	signed64	signed64	sync	impl	3,333	0,062
gt	unsigned1	boolean	sync	impl	0,779	0,113
gt	signed1	boolean	sync	impl	0,697	0,135
gt	unsigned8	boolean	sync	impl	1,765	0,130
gt	signed8	boolean	sync	impl	1,822	0,151
gt	unsigned16	boolean	sync	impl	2,595	0,023
gt	signed16	boolean	sync	impl	2,638	0,023
gt	unsigned32	boolean	sync	impl	3,369	0,124
gt	signed32	boolean	sync	impl	3,369	0,124
gt	unsigned64	boolean	sync	impl	4,685	0,067
gt	signed64	boolean	sync	impl	4,685	0,067
lt	unsigned1	boolean	sync	impl	0,697	0,135
lt	signed1	boolean	sync	impl	0,779	0,113
lt	unsigned8	boolean	sync	impl	1,727	0,117
lt	signed8	boolean	sync	impl	1,598	0,118
lt	unsigned16	boolean	sync	impl	2,635	0,134
lt	signed16	boolean	sync	impl	2,617	0,117
lt	unsigned32	boolean	sync	impl	3,204	0,113
lt	signed32	boolean	sync	impl	3,101	0,113
lt	unsigned64	boolean	sync	impl	4,520	0,090
lt	signed64	boolean	sync	impl	4,520	0,090
ge	unsigned1	boolean	sync	impl	0,779	0,113
ge	signed1	boolean	sync	impl	0,697	0,135
ge	unsigned8	boolean	sync	impl	1,442	0,118
ge	signed8	boolean	sync	impl	1,573	0,117
ge	unsigned16	boolean	sync	impl	2,617	0,117
ge	signed16	boolean	sync	impl	2,635	0,134
ge	unsigned32	boolean	sync	impl	3,212	0,105
ge	signed32	boolean	sync	impl	3,212	0,105
ge	unsigned64	boolean	sync	impl	4,455	0,010
ge	signed64	boolean	sync	impl	4,519	0,010
le	unsigned1	boolean	sync	impl	0,697	0,135
le	signed1	boolean	sync	impl	0,779	0,113
le	unsigned8	boolean	sync	impl	1,426	0,117
le	signed8	boolean	sync	impl	1,474	0,115
le	unsigned16	boolean	sync	impl	2,969	-0,014
le	signed16	boolean	sync	impl	2,969	-0,014
le	unsigned32	boolean	sync	impl	3,575	0,111
le	signed32	boolean	sync	impl	3,575	0,111
le	unsigned64	boolean	sync	impl	4,179	0,102
le	signed64	boolean	sync	impl	4,179	0,102
eq	unsigned1	boolean	sync	impl	0,796	0,113
eq	signed1	boolean	sync	impl	0,796	0,113
eq	unsigned8	boolean	sync	impl	1,368	0,139
eq	signed8	boolean	sync	impl	1,368	0,139
eq	unsigned16	boolean	sync	impl	1,440	0,136
eq	signed16	boolean	sync	impl	1,440	0,136
eq	unsigned32	boolean	sync	impl	2,224	0,119
eq	signed32	boolean	sync	impl	2,224	0,119
eq	unsigned64	boolean	sync	impl	2,914	0,027
eq	signed64	boolean	sync	impl	2,914	0,027
neq	unsigned1	boolean	sync	impl	0,796	0,113
neq	signed1	boolean	sync	impl	0,796	0,113
neq	unsigned8	boolean	sync	impl	1,354	0,139
neq	signed8	boolean	sync	impl	1,354	0,139
neq	unsigned16	boolean	sync	impl	1,484	0,122
neq	signed16	boolean	sync	impl	1,484	0,122
neq	unsigned32	boolean	sync	impl	2,227	0,119
neq	signed32	boolean	sync	impl	2,227	0,119
