Op	InType	OutType	Template	DesignStat	DPD	TWDFR
and	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
and	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
and	std_logic_vector16	std_logic_vector16	sync	impl	0,469	-0,037
and	std_logic_vector32	std_logic_vector32	sync	impl	0,641	-0,171
and	std_logic_vector64	std_logic_vector64	sync	impl	1,303	-0,371
nand	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
nand	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
nand	std_logic_vector16	std_logic_vector16	sync	impl	0,469	-0,037
nand	std_logic_vector32	std_logic_vector32	sync	impl	0,641	-0,171
nand	std_logic_vector64	std_logic_vector64	sync	impl	1,303	-0,371
or	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
or	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
or	std_logic_vector16	std_logic_vector16	sync	impl	0,469	-0,037
or	std_logic_vector32	std_logic_vector32	sync	impl	0,641	-0,171
or	std_logic_vector64	std_logic_vector64	sync	impl	1,303	-0,371
nor	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
nor	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
nor	std_logic_vector16	std_logic_vector16	sync	impl	0,469	-0,037
nor	std_logic_vector32	std_logic_vector32	sync	impl	0,641	-0,171
nor	std_logic_vector64	std_logic_vector64	sync	impl	1,303	-0,371
xor	std_logic_vector1	std_logic_vector1	sync	impl	0,446	-0,037
xor	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
xor	std_logic_vector16	std_logic_vector16	sync	impl	0,446	-0,037
xor	std_logic_vector32	std_logic_vector32	sync	impl	0,641	-0,171
xor	std_logic_vector64	std_logic_vector64	sync	impl	1,303	-0,371
xnor	std_logic_vector1	std_logic_vector1	sync	impl	0,446	-0,037
xnor	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
xnor	std_logic_vector16	std_logic_vector16	sync	impl	0,446	-0,037
xnor	std_logic_vector32	std_logic_vector32	sync	impl	0,641	-0,171
xnor	std_logic_vector64	std_logic_vector64	sync	impl	1,303	-0,371
add	unsigned1	unsigned1	sync	impl	0,341	-0,037
add	signed1	signed1	sync	impl	0,341	-0,037
add	unsigned8	unsigned8	sync	impl	0,726	-0,083
add	signed8	signed8	sync	impl	0,726	-0,083
add	unsigned16	unsigned16	sync	impl	1,002	-0,094
add	signed16	signed16	sync	impl	1,002	-0,094
add	unsigned32	unsigned32	sync	impl	0,817	-0,096
add	signed32	signed32	sync	impl	0,817	-0,096
add	unsigned64	unsigned64	sync	impl	1,377	-0,339
add	signed64	signed64	sync	impl	1,377	-0,339
gt	unsigned1	boolean	sync	impl	0,341	-0,037
gt	signed1	boolean	sync	impl	0,446	-0,037
gt	unsigned8	boolean	sync	synth	0,757	-0,155
gt	signed8	boolean	sync	synth	0,757	-0,155
gt	unsigned16	boolean	sync	impl	0,654	-0,043
gt	signed16	boolean	sync	impl	0,654	-0,043
gt	unsigned32	boolean	sync	impl	0,806	-0,097
gt	signed32	boolean	sync	impl	0,806	-0,097
gt	unsigned64	boolean	sync	impl	0,902	-0,096
gt	signed64	boolean	sync	impl	0,902	-0,096
lt	unsigned1	boolean	sync	impl	0,446	-0,037
lt	signed1	boolean	sync	impl	0,341	-0,037
lt	unsigned8	boolean	sync	synth	0,757	-0,155
lt	signed8	boolean	sync	synth	0,757	-0,155
lt	unsigned16	boolean	sync	impl	0,639	-0,048
