Op	InType	OutType	Template	DesignStat	DPD	TWDFR
and	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
and	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
and	std_logic_vector16	std_logic_vector16	sync	impl	0,452	-0,133
and	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,174
and	std_logic_vector64	std_logic_vector64	sync	impl	0,484	-0,035
nand	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
nand	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
nand	std_logic_vector16	std_logic_vector16	sync	impl	0,452	-0,133
nand	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,174
nand	std_logic_vector64	std_logic_vector64	sync	impl	0,484	-0,035
or	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
or	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
or	std_logic_vector16	std_logic_vector16	sync	impl	0,452	-0,133
or	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,174
or	std_logic_vector64	std_logic_vector64	sync	impl	0,484	-0,035
nor	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
nor	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
nor	std_logic_vector16	std_logic_vector16	sync	impl	0,452	-0,133
nor	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,174
nor	std_logic_vector64	std_logic_vector64	sync	impl	0,484	-0,035
xor	std_logic_vector1	std_logic_vector1	sync	impl	0,446	-0,037
xor	std_logic_vector8	std_logic_vector8	sync	impl	0,433	-0,037
xor	std_logic_vector16	std_logic_vector16	sync	impl	0,452	-0,133
xor	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,174
xor	std_logic_vector64	std_logic_vector64	sync	impl	0,486	-0,097
xnor	std_logic_vector1	std_logic_vector1	sync	impl	0,446	-0,037
xnor	std_logic_vector8	std_logic_vector8	sync	impl	0,433	-0,037
xnor	std_logic_vector16	std_logic_vector16	sync	impl	0,452	-0,133
xnor	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,174
xnor	std_logic_vector64	std_logic_vector64	sync	impl	0,486	-0,097
add	unsigned1	unsigned1	sync	impl	0,341	-0,037
add	signed1	signed1	sync	impl	0,341	-0,037
add	unsigned8	unsigned8	sync	impl	0,652	-0,030
add	signed8	signed8	sync	impl	0,652	-0,030
add	unsigned16	unsigned16	sync	impl	0,832	-0,046
add	signed16	signed16	sync	impl	0,832	-0,046
add	unsigned32	unsigned32	sync	impl	0,960	-0,089
add	signed32	signed32	sync	impl	0,960	-0,089
add	unsigned64	unsigned64	sync	impl	1,152	-0,080
add	signed64	signed64	sync	impl	1,152	-0,080
gt	unsigned1	boolean	sync	impl	0,341	-0,037
gt	signed1	boolean	sync	impl	0,446	-0,037
gt	unsigned8	boolean	sync	synth	0,785	-0,155
gt	signed8	boolean	sync	synth	0,785	-0,155
gt	unsigned16	boolean	sync	impl	1,055	-0,038
gt	signed16	boolean	sync	impl	1,055	-0,038
gt	unsigned32	boolean	sync	impl	0,867	-0,089
gt	signed32	boolean	sync	impl	0,867	-0,089
gt	unsigned64	boolean	sync	impl	0,912	-0,082
gt	signed64	boolean	sync	impl	0,912	-0,082
lt	unsigned1	boolean	sync	impl	0,446	-0,037
lt	signed1	boolean	sync	impl	0,341	-0,037
lt	unsigned8	boolean	sync	synth	0,785	-0,155
lt	signed8	boolean	sync	synth	0,785	-0,155
lt	unsigned16	boolean	sync	impl	1,055	-0,038
